gpa,1,3.8
gpa,2,3.65
gpa,3,3.5
gpa,4,3.2
toefl,1,107
toefl,2,104
toefl,3,100
toefl,4,98
ielts,1,7.5
ielts,2,7
ielts,3,6.5
ielts,4,6.5
gre,1,330
gre,2,326
gre,3,320
gre,4,310
gmat,1,720
gmat,2,680
gmat,3,650
gmat,4,620
research,1,1
research,2,0.68
research,3,0.6
research,4,0.5
internship,1,1
internship,2,0.85
internship,3,0.56
internship,4,0.5
activity,1,1
activity,2,0.88
activity,3,0.76
activity,4,0.68
scholarship,1,1
scholarship,2,0.79
scholarship,3,0.64
scholarship,4,0.5
competition,1,1
competition,2,0.78
competition,3,0.64
competition,4,0.5
credential,1,1
credential,2,0.86
credential,3,0.78
credential,4,0.6
